Object::connect: No such slot HQApplication::UpdateMenus() in HQApplication.cpp:464
Object::connect: No such slot HQApplication::UpdateMenus() in HQApplication.cpp:473


Warning (60/203) from HOOPS routine 'Update_Display' -

	  This copy of HOOPS has not been licensed for commercial
	  development or distribution purposes.	 Copying is prohibited.
	  To obtain rights to develop and/or distribute applications
	  based on HOOPS, please contact Tech Soft 3D at
	  510-883-2180 or email hoops@techsoft3d.com
	  
	  The HOOPS Web page is located at:
	  					http://www.hoops3d.com

Loading File:/home/ubuntu/253perlbmkRunRef1_dinvsdin_1000mil_08241019.dd
Loading File:/home/ubuntu/253perlbmkRunRef1_dinvshot_1000mil_08201021.dd
Loading File:/home/ubuntu/253perlbmkRunRef1_dinvsrdy_1000mil_08181029.dd
Done Loading DD file(s):298.462473
DD Manager list size:3
Using the value 9126364 as a lower bound
Old DINxRDY Size:18252728
Building forward slice...
Time for 1000 slices:1770.844146
Time for 2000 slices:1782.980526
Time for 3000 slices:1826.681612
Time for 4000 slices:1829.794194
Time for 5000 slices:1831.593658
Time for 6000 slices:1833.225047
Time for 7000 slices:1834.900974
Time for 8000 slices:1836.479124
Time for 9000 slices:1864.740428
Time for 10000 slices:1865.737104
Time for 11000 slices:1866.631243
Time for 12000 slices:1867.547440
Time for 13000 slices:1868.433967
Time for 14000 slices:1869.240687
Time for 15000 slices:1869.992448
Time for 16000 slices:1870.739638
Time for 17000 slices:1871.496078
Time for 18000 slices:1872.272523
Time for 19000 slices:1873.101369
Time for 20000 slices:1873.987023
Time for 21000 slices:1874.990055
Time for 22000 slices:1875.826248
Time for 23000 slices:1900.040594
Time for 24000 slices:1900.854255
Time for 25000 slices:1901.529372
Time for 26000 slices:1902.177406
Time for 27000 slices:1902.833609
Time for 28000 slices:1903.483775
Time for 29000 slices:1904.237150
Time for 30000 slices:1904.957434
Time for 31000 slices:1905.610006
Time for 32000 slices:1906.248251
Time for 33000 slices:1906.955832
Time for 34000 slices:1907.651953
Time for 35000 slices:1908.360881
Time for 36000 slices:1909.041000
Time for 37000 slices:1909.733968
Time for 38000 slices:1910.386914
Time for 39000 slices:1934.569328
Time for 40000 slices:1935.211426
Time for 41000 slices:1935.810508
Time for 42000 slices:1936.390529
Time for 43000 slices:1937.024907
Time for 44000 slices:1937.652064
Time for 45000 slices:1938.281767
Time for 46000 slices:1938.932927
Time for 47000 slices:1939.662279
Time for 48000 slices:1940.345156
Time for 49000 slices:1940.957610
Time for 50000 slices:1941.604782
Time for 51000 slices:1942.285032
Time for 52000 slices:1943.040047
Time for 53000 slices:1943.679177
Time for 54000 slices:1944.297082
Time for 55000 slices:1944.899445
Time for 56000 slices:1945.601158
Time for 57000 slices:1946.325431
Time for 58000 slices:2109.789673
Time for 59000 slices:2110.282909
Time for 60000 slices:2110.774822
Time for 61000 slices:2111.246580
Time for 62000 slices:2111.712617
